"left","data-link","data-link href","left 2","data1","data1 2","padAst","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","data1 12","padDp2"
"(AUS)","LR Morris","https://stats.espncricinfo.com/ci/content/player/1125317.html","2024-2024","3","0","0","0.00","0","4","2/13","24.00","0","1","1","0","-23.99",""
"(BAN)","Mosharraf Hossain","https://stats.espncricinfo.com/ci/content/player/56017.html","2008-2016","5","26","8","6.50","0","4","3/24","36.75","0","1","1","0","-30.24",""
"(ENG)","DR Mousley","https://stats.espncricinfo.com/ci/content/player/1172968.html","2024-2024","3","69","57","34.50","0","0","-","0","1","1","0","","","-"
"(SA)","M Mpongwana","https://stats.espncricinfo.com/ci/content/player/948593.html","2025-2025","1","1","","1*","0","0","-","0","1","1","0","","","-"
"(IND)","Mukesh Kumar","https://stats.espncricinfo.com/ci/content/player/926851.html","2023-2023","6","10","6","10.00","0","5","3/30","43.40","0","1","1","0","-33.39",""
"(IND)","SP Mukherjee","https://stats.espncricinfo.com/ci/content/player/31048.html","1990-1991","3","2","","2*","0","2","1/30","49.00","0","1","1","0","","-"
"(SA)","S Muthusamy","https://stats.espncricinfo.com/ci/content/player/535393.html","2025-2025","2","2","2","2.00","0","2","2/50","33.50","0","1","1","0","-31.49",""
"(PAK)","Naeem Ahmed","https://stats.espncricinfo.com/ci/content/player/42071.html","1978-1978","1","0","","0*","0","0","-","0","1","1","0","","","-"
"(AFG)","Nangeyalia Kharote","https://stats.espncricinfo.com/ci/content/player/1199434.html","2024-2024","7","41","","27*","13.66","0","11","4/26","16.54","0","1","1","0",""
"(IND)","SV Nayak","https://stats.espncricinfo.com/ci/content/player/31808.html","1981-1982","4","3","3","3.00","0","1","1/51","161.00","0","1","1","0","-157.99",""
"(BAN)","Nazimuddin","https://stats.espncricinfo.com/ci/content/player/56059.html","2008-2012","11","147","47","13.36","0","-","-","-","1","1","0","","","-"
"(BAN)","Neeyamur Rashid","https://stats.espncricinfo.com/ci/content/player/56044.html","1999-1999","2","5","","4*","5.00","0","1","1/46","66.00","0","1","1","0",""
"(AUS)","MG Neser","https://stats.espncricinfo.com/ci/content/player/376169.html","2018-2023","4","11","6","2.75","0","3","2/46","79.66","0","1","1","0","-76.91",""
"(AFG)","Noor-ul-Haq","https://stats.espncricinfo.com/ci/content/player/307652.html","2010-2010","2","12","12","6.00","0","-","-","-","1","1","0","","","-"
"(AFG)","Noor Ahmad","https://stats.espncricinfo.com/ci/content/player/1182529.html","2022-2024","10","31","26","10.33","0","9","3/49","57.22","0","1","1","0","-46.88",""
"(AUS)","MJ North","https://stats.espncricinfo.com/ci/content/player/6943.html","2009-2009","2","6","5","3.00","0","0","-","0","1","1","0","","","-"
"(NZ)","IE O'Brien","https://stats.espncricinfo.com/ci/content/player/38108.html","2008-2009","10","3","","3*","0","14","3/68","34.85","0","1","1","0","","-"
"(IND)","NV Ojha","https://stats.espncricinfo.com/ci/content/player/32102.html","2010-2010","1","1","1","1.00","0","-","-","-","1","0","1","","","-"
"(ENG)","G Onions","https://stats.espncricinfo.com/ci/content/player/18389.html","2009-2009","4","1","1","1.00","0","4","2/58","46.25","0","1","1","0","-45.24",""
"(ENG)","J Overton","https://stats.espncricinfo.com/ci/content/player/510530.html","2024-2025","3","38","32","12.66","0","3","2/27","14.66","0","1","1","0","-1.99",""