"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","padAst","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","padDp2","padDp2 2"
"(PAK)","Mansoor Amjad","https://stats.espncricinfo.com/ci/content/player/41963.html","2008-2008","1","1","0","5","5","5.00","10","50.00","0","0","0","",""
"(PAK)","Maqsood Rana","https://stats.espncricinfo.com/ci/content/player/41272.html","1990-1990","1","1","0","5","5","5.00","13","38.46","0","0","0","",""
"(AFG)","Najeeb Tarakai","https://stats.espncricinfo.com/ci/content/player/533953.html","2017-2017","1","1","0","5","5","5.00","18","27.77","0","0","0","",""
"(PAK)","Naumanullah","https://stats.espncricinfo.com/ci/content/player/42059.html","2008-2008","1","1","0","5","5","5.00","4","125.00","0","0","0","",""
"(BAN)","Neeyamur Rashid","https://stats.espncricinfo.com/ci/content/player/56044.html","1999-1999","2","2","1","5","","4*","5.00","5","100.00","0","0","",""
"(NZ)","W O'Rourke","https://stats.espncricinfo.com/ci/content/player/1211825.html","2023-2025","8","3","2","5","","3*","5.00","13","38.46","0","0","",""
"(SA)","N Peter","https://stats.espncricinfo.com/ci/content/player/946483.html","2024-2024","2","1","0","5","5","5.00","25","20.00","0","0","0","",""
"(ENG)","WB Rankin","https://stats.espncricinfo.com/ci/content/player/24599.html","2013-2014","7","2","1","5","4","5.00","5","100.00","0","0","0","",""
"(PAK)","Sajjad Akbar","https://stats.espncricinfo.com/ci/content/player/42612.html","1990-1990","2","1","0","5","5","5.00","9","55.55","0","0","0","",""
"(IND)","L Sivaramakrishnan","https://stats.espncricinfo.com/ci/content/player/34074.html","1985-1987","16","4","2","5","","2*","2.50","24","20.83","0","0","",""
"(BAN)","Talha Jubair","https://stats.espncricinfo.com/ci/content/player/56180.html","2002-2003","6","5","3","5","","4*","2.50","15","33.33","0","0","",""
"(BAN)","Tanbir Hayder","https://stats.espncricinfo.com/ci/content/player/421892.html","2016-2016","2","2","0","5","3","2.50","16","31.25","0","0","0","",""
"(SA)","DJ Terbrugge","https://stats.espncricinfo.com/ci/content/player/47541.html","2000-2000","4","2","1","5","5","5.00","14","35.71","0","0","0","",""
"(SA)","J Theron","https://stats.espncricinfo.com/ci/content/player/223642.html","2010-2010","4","1","0","5","5","5.00","5","100.00","0","0","0","",""
"(BAN)","Zakir Hasan","https://stats.espncricinfo.com/ci/content/player/697059.html","2023-2024","2","2","0","5","4","2.50","12","41.66","0","0","0","",""
"(AFG)","Zia-ur-Rehman","https://stats.espncricinfo.com/ci/content/player/633374.html","2023-2023","1","1","0","5","5","5.00","30","16.66","0","0","0","",""
"(BAN)","Al-Amin Hossain","https://stats.espncricinfo.com/ci/content/player/511532.html","2014-2020","15","7","5","4","","2*","2.00","20","20.00","0","0","",""
"(AUS)","Fawad Ahmed","https://stats.espncricinfo.com/ci/content/player/240609.html","2013-2013","3","1","1","4","","4*","2","200.00","0","0","0","-",""
"(ENG)","PJ Franks","https://stats.espncricinfo.com/ci/content/player/12906.html","2000-2000","1","1","0","4","4","4.00","17","23.52","0","0","0","",""
"(IND)","D Ganesh","https://stats.espncricinfo.com/ci/content/player/28774.html","1997-1997","1","1","0","4","4","4.00","8","50.00","0","0","0","",""